OBJECTID,shape_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_fare_class,line_id,listed_route,route_type_text,created_user,created_date,last_edited_user,last_edited_date,ShapeSTLength
62995,8000001-70205-70503-0,Green-E,E,Green Line E,Rapid Transit,0,https://www.mbta.com/schedules/Green-E,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,6899.196807
62996,8000002-70504-70206-2,Green-E,E,Green Line E,Rapid Transit,0,https://www.mbta.com/schedules/Green-E,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,6899.196325
62997,8000003,Green-B,B,Green Line B,Rapid Transit,0,https://www.mbta.com/schedules/Green-B,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,10323.40167
62998,8000005,Green-C,C,Green Line C,Rapid Transit,0,https://www.mbta.com/schedules/Green-C,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,8248.335493
62999,8000006,Green-C,C,Green Line C,Rapid Transit,0,https://www.mbta.com/schedules/Green-C,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,8243.0533
63000,8000007,Green-D,D,Green Line D,Rapid Transit,0,https://www.mbta.com/schedules/Green-D,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,19952.10938
63001,8000007-70151-70161-0,Green-D,D,Green Line D,Rapid Transit,0,https://www.mbta.com/schedules/Green-D,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,4349.744898
63002,8000007-70187-70161-0,Green-D,D,Green Line D,Rapid Transit,0,https://www.mbta.com/schedules/Green-D,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,5295.276165
63003,8000008-70504-70206-2,Green-D,D,Green Line D,Rapid Transit,0,https://www.mbta.com/schedules/Green-D,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,19963.57593
63004,8000009-70205-70503-0,Green-D,D,Green Line D,Rapid Transit,0,https://www.mbta.com/schedules/Green-D,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,19963.77711
63005,8000010,Green-D,D,Green Line D,Rapid Transit,0,https://www.mbta.com/schedules/Green-D,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,19952.03435
63006,8000010-70160-70150-2,Green-D,D,Green Line D,Rapid Transit,0,https://www.mbta.com/schedules/Green-D,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,4349.474189
63007,8000010-70160-70186-2,Green-D,D,Green Line D,Rapid Transit,0,https://www.mbta.com/schedules/Green-D,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,5232.510756
63008,8000011,Green-B,B,Green Line B,Rapid Transit,0,https://www.mbta.com/schedules/Green-B,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,10350.65804
63009,8000012,Green-B,B,Green Line B,Rapid Transit,0,https://www.mbta.com/schedules/Green-B,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,10350.65763
63010,8000013,Green-B,B,Green Line B,Rapid Transit,0,https://www.mbta.com/schedules/Green-B,00843D,Rapid Transit,line-Green,,"Tram, Streetcar, Light rail",DOT_ADMIN,2021/12/07 11:35:30+00,DOT_ADMIN,2021/12/07 11:35:30+00,10323.3989
